Date,Open,High,Low,Close,Adj Close,Volume
9/20/2018,1179.98999,1189.890015,1173.359985,1186.869995,1186.869995,1210000
9/21/2018,1192,1192.209961,1166.040039,1166.089966,1166.089966,4405600
9/24/2018,1157.170044,1178,1146.910034,1173.369995,1173.369995,1271000
9/25/2018,1176.150024,1186.880005,1168,1184.650024,1184.650024,977700
9/26/2018,1185.150024,1194.22998,1174.765015,1180.48999,1180.48999,1462300
9/27/2018,1186.72998,1202.099976,1183.630005,1194.640015,1194.640015,1260800
9/28/2018,1191.869995,1195.410034,1184.5,1193.469971,1193.469971,1380600
10/1/2018,1199.890015,1209.900024,1190.300049,1195.310059,1195.310059,1357600
10/2/2018,1190.959961,1209.959961,1186.630005,1200.109985,1200.109985,1687900
10/3/2018,1205,1206.410034,1193.829956,1202.949951,1202.949951,1256200
10/4/2018,1195.329956,1197.51001,1155.57605,1168.189941,1168.189941,2209500
10/5/2018,1167.5,1173.5,1145.119995,1157.349976,1157.349976,1184300
10/8/2018,1150.109985,1168,1127.364014,1148.969971,1148.969971,1932400
10/9/2018,1146.150024,1154.349976,1137.572021,1138.819946,1138.819946,1308700
10/10/2018,1131.079956,1132.170044,1081.130005,1081.219971,1081.219971,2675700
10/11/2018,1072.939941,1106.400024,1068.27002,1079.319946,1079.319946,2949000
10/12/2018,1108,1115,1086.401978,1110.079956,1110.079956,2101300
10/15/2018,1108.910034,1113.446045,1089,1092.25,1092.25,1372400
10/16/2018,1104.589966,1124.219971,1102.5,1121.280029,1121.280029,1928500
10/17/2018,1126.459961,1128.98999,1102.189941,1115.689941,1115.689941,1467200
10/18/2018,1121.839966,1121.839966,1077.089966,1087.969971,1087.969971,2094500
10/19/2018,1093.369995,1110.359985,1087.75,1096.459961,1096.459961,1264800
